gr,species,sampleID,station,study,fjord,d2H,d15N,d13C,TL,d2H_w
1,Euphausia pacifica,Euph50,CB12,glacier,Columbia Bay,-140.93,8.16,-19.64,2.3,-36.12
1,Euphausia pacifica,Euph51,CB12,glacier,Columbia Bay,-145.39,9.02,-18.59,2.6,-36.12
1,Euphausia pacifica,Euph52,CB12,glacier,Columbia Bay,-147.1,9.01,-18.96,2.6,-36.12
1,Euphausia pacifica,Euph53,CB12,glacier,Columbia Bay,-154.05,10.42,-17.97,3,-36.12
1,Euphausia pacifica,Euph71,CB12,glacier,Columbia Bay,-146.33,8.8,-19,2.5,-36.12
1,Euphausia pacifica,Euph42,CB2,glacier,Columbia Bay,-145.49,10.03,-17.55,2.9,-35.16
1,Euphausia pacifica,12,HB1,glacier,Harriman,-163.72,10.68,-19.88,3.1,-32.46
1,Euphausia pacifica,14,HB1,glacier,Harriman,-132.08,11.14,-18.67,3.2,-32.46
1,Euphausia pacifica,1,HB1,glacier,Harriman,-135.04,11.31,-18.61,3.3,-32.46
1,Euphausia pacifica,4,HB1,glacier,Harriman,-127.52,11.31,-18.37,3.3,-32.46
1,Euphausia pacifica,10,HB1,glacier,Harriman,-135.26,11.31,-18.69,3.3,-32.46
1,Euphausia pacifica,5,HB1,glacier,Harriman,-136.77,11.36,-18.21,3.3,-32.46
1,Euphausia pacifica,8,HB1,glacier,Harriman,-179.9,11.39,-19.34,3.3,-32.46
1,Euphausia pacifica,7,HB1,glacier,Harriman,-131.82,11.63,-18.31,3.4,-32.46
1,Euphausia pacifica,9,HB1,glacier,Harriman,-147.91,12.45,-18.86,3.6,-32.46
1,Euphausia pacifica,13,HB1,glacier,Harriman,-139.79,12.59,-19.41,3.6,-32.46
1,Euphausia pacifica,15,HB1,glacier,Harriman,-131.82,12.75,-18.93,3.7,-32.46
1,Euphausia pacifica,3,HB1,glacier,Harriman,-147.73,12.83,-18.74,3.7,-32.46
1,Euphausia pacifica,6,HB1,glacier,Harriman,-138.49,12.83,-18.47,3.7,-32.46
1,Euphausia pacifica,11,HB1,glacier,Harriman,-139.5,13.02,-18.7,3.8,-32.46
1,Euphausia pacifica,2,HB1,glacier,Harriman,-132.27,13.11,-18.35,3.8,-32.46
1,Euphausia pacifica,16,UN2,glacier,UN,-140.73,9.86,-18.58,2.8,-23.67
1,Euphausia pacifica,29,UN2,glacier,UN,-117.6,10.05,-18.62,2.9,-23.67
1,Euphausia pacifica,19,UN2,glacier,UN,-117.3,10.22,-19.44,2.9,-23.67
1,Euphausia pacifica,24,UN2,glacier,UN,-124.28,10.41,-20.01,3,-23.67
1,Euphausia pacifica,27,UN2,glacier,UN,-123.93,10.57,-18.99,3,-23.67
1,Euphausia pacifica,25,UN2,glacier,UN,-123.55,10.74,-18.91,3.1,-23.67
1,Euphausia pacifica,20,UN2,glacier,UN,-131.43,10.76,-18.96,3.1,-23.67
1,Euphausia pacifica,28,UN2,glacier,UN,-130.87,10.9,-19.05,3.1,-23.67
1,Euphausia pacifica,17,UN2,glacier,UN,-121.4,11.09,-18.66,3.2,-23.67
